127.0.0.1 - - [17/Jan/2018:16:56:08 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jan/2018:16:56:09 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 500 3150
0:0:0:0:0:0:0:1 - - [17/Jan/2018:16:56:34 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 500 4382
0:0:0:0:0:0:0:1 - - [17/Jan/2018:16:57:24 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 500 3787
0:0:0:0:0:0:0:1 - - [17/Jan/2018:16:57:42 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [17/Jan/2018:16:58:27 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:00:06 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:00:33 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:11:51 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:11:56 +0530] "GET /jdbc_connection/get?sname=sahil HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:12:42 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:12:47 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 500 4170
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:14:34 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 500 4170
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:14:51 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:14:56 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 500 4170
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:16:00 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:16:05 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 500 4397
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:19:10 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:19:14 +0530] "GET /jdbc_connection/con_demo.jsp?sname=ahi HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:19:31 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:19:35 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:21:28 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:21:32 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:21:47 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:21:52 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:22:30 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:22:34 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:22:38 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:25:12 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:25:20 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil&first=s HTTP/1.1" 500 4393
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:25:42 +0530] "GET /jdbc_connection/con_demo.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:26:27 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:26:32 +0530] "GET /jdbc_connection/con_demo.jsp?sname=sahil&first=s HTTP/1.1" 500 4401
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:27:07 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:27:11 +0530] "GET /jdbc_connection/con_demo.jsp?sname=&first=s HTTP/1.1" 500 4405
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:28:56 +0530] "GET /jdbc_connection/search.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [17/Jan/2018:17:28:59 +0530] "GET /jdbc_connection/con_demo.jsp?sname=&first=s HTTP/1.1" 200 299
