127.0.0.1 - - [19/Jan/2018:16:48:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2018:16:48:39 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [19/Jan/2018:16:49:40 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:00:37 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 500 4107
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:01:22 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:02:45 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:03:37 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:04:23 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:07:24 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:08:29 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:09:01 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:24:34 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:25:14 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:26:25 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:39:59 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:40:03 +0530] "GET /dynamic_delete/delete.jsp?id=1 HTTP/1.1" 500 3959
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:42:05 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:42:07 +0530] "GET /dynamic_delete/delete.jsp?new_id=1 HTTP/1.1" 500 3959
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:43:24 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:43:25 +0530] "GET /dynamic_delete/delete.jsp?new_id=1 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:45:06 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:45:08 +0530] "GET /dynamic_delete/delete.jsp?new_id=1 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:45:12 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:48:27 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:48:34 +0530] "GET /dynamic_delete/delete.jsp?new_id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:17:48:34 +0530] "GET /dynamic_delete/data.jsp HTTP/1.1" 200 753
