127.0.0.1 - - [05/Feb/2018:16:56:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:56:42 +0530] "GET /jstldemo/sqltaglib.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:56:42 +0530] "GET /jstldemo/sessiondata.jsp;jsessionid=30096644BD2CB1EF7CEF5AE744E9DDEB HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:58:12 +0530] "GET /jstldemo/sqltaglib.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:58:14 +0530] "GET /jstldemo/sessiondata.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:58:40 +0530] "GET /jstldemo/sqltaglib.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [05/Feb/2018:16:58:42 +0530] "GET /jstldemo/sessiondata.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:13:02 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 500 2983
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:13:29 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:18:30 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 500 3452
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:19:18 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 500 3449
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:20:58 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:21:59 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:22:39 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:27:56 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:38:11 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:41:22 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 500 3350
0:0:0:0:0:0:0:1 - - [05/Feb/2018:17:41:37 +0530] "GET /jstldemo/functiion_demo.jsp HTTP/1.1" 200 286
